bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
Python数据分析与应用NumPy数值计算基础教程书籍Matplotlib数据,黄红梅 张良均,人民邮电出版社,2018年04月,39.90,9787115373045,1,胶版纸,平装-胶订,否,图书>自然科学>数学>数学理论
Python机器学习实践:测试驱动的开发方法/机器学习/算法/软件工具/程序设计/人工智能/机器学习/书籍+Python数据科学手册,Matthew Kirk,机械工业出版社,2017年10月,162.00,9787111581666,2,胶版纸,平装-胶订,是,图书>计算机/网络>程序设计>PHP
Python数据分析与数据化运营 机械工业出版社,宋天龙 著作,机械工业出版社,2018年01月,67.20,9787111584605,1,轻型纸,平装-胶订,否,图书>计算机/网络>网络与数据通信>通信
Python数据分析实战,【意】内利（Fabio Nelli）,人民邮电出版社,2016年08月,40.40,9787115432209,736,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python数据可视化之Matplotlib实践 电子工业出版社,刘大成,电子工业出版社,2018年09月,40.50,9787121348884,2,轻型纸,平装-胶订,否,图书>计算机/网络>程序设计>CC++C#VCVC++
python基础教程 零基础学python3.5编程从入门到实践 精通计算机程序设计pathon核心技术网络爬虫书籍 赠源代码/视频课程小甲鱼,无,人民邮电,2018年10月,306.00,9787115414779,1,纯质纸,平装-胶订,否,图书>计算机/网络>行业软件及应用
Python和Pygame游戏开发指南 Python 2D游戏开发应用实践教程计算机游戏编程教程案例实例分析Python语言编程指南程序设计入门书,Al Sweigart,人民邮电出版社,2019年03月,48.00,9787115407351,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
python编程基础教程+c语言程序设计从入门到精通+java从入门到精通 计算机编程软件开发自学书籍数据结构与算法编程思想核心技术,无,电子工业出版社,2019年05月,201.00,9787121357954,0,纯质纸,平装-胶订,是,图书>计算机/网络>图形图像多媒体>其他
【正版图书-F】Python 3 面向对象编程(第2版) 9787121341366 电子工业出版社  枫林苑图书专营店,(加)Dusty Phillips(达斯帝·菲利普斯),电子工业出版社,2018年06月,51.48,9787121341366,1,胶版纸,平装-胶订,否,图书>计算机/网络>计算机理论
Python编程基础与案例集锦（中学版） 董付国 9787121355394,董付国,电子工业出版社,2019年02月,40.70,9787121355394,0,胶版纸,平装-胶订,否,图书>中小学教辅>初中通用>其他科目
Python趣味编程入门 人工智能 青少年学编程 人工智能热门编程语言   python基础教程编程学习手册程序设计书籍,迈克·桑德斯,人民邮电出版社,2018年09月,39.00,9787115487537,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python+Spark 2 0+Hadoop机器学习与大数据实战 林大贵 清华大学出版社 9787302490739,林大贵,清华大学出版社,2018年01月,99.00,9787302490739,2,胶版纸,平装-胶订,否,图书>计算机/网络>计算机理论
Python计算机视觉编程 核心编程设计开发基础教程 动态脚本语言教材 python高手之路 python编程入门基础学习手册书籍,Jan Erik Solem,人民邮电出版社,2019年03月,68.00,9787115352323,1,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python深度学习实战 基于TensorFlow和Keras的聊天机器人以及人脸、物体和语音识别 机械工业出版社,[印] 纳温·库马尔·马纳西（Navin Kumar Manaswi）,机械工业出版社,2019年04月,43.40,9787111622765,0,轻型纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python自然语言处理实战核心技术与算法+NLP汉语自然语言处理原理与实践+自然语言处理技术入门与实战 3册 语音识别系统开发书籍,无,无,2019年01月,220.00,9787111597674,2,纯质纸,平装-胶订,是,图书>文学>纪实文学
Python 3标准库 道格赫尔曼(Doug Hellmann) 机械工业出版社 9787111608950,道格·赫尔曼(Doug He,机械工业出版社,2018年10月,199.00,711160895X,0,胶版纸,平装-胶订,否,图书>计算机/网络>计算机理论
Python web高效开发：Flask Web开发基于Python的Web应用开发实战,Miguel Grinberg,人民邮电出版社,2015年01月,114.00,9787115489456,0,胶版纸,平装-胶订,否,图书>管理>商务沟通>综合
Python编程快速上手——让繁琐工作自动化+数学之美(第二版)+Python编程从入门到实践 计算机程序设计编程书籍 python核心编程技术,"Al,Sweigart,,斯维加特",人民邮电出版社,2018年06月,155.00,9787115422699,0,纯质纸,平装-胶订,否,图书>管理>一般管理学>团队
现货正版】Python3爬虫、数据清洗与可视化实战+Python机器学习算法机器学习算法理论知识 python机器学习入门教程 Python算法理论实践书 机器学习入门 Python书籍,赵志勇,电子工业出版社,2017年06月,116.80,9787121313196,4,胶版纸,平装-胶订,是,图书>计算机/网络>计算机体系结构
"Python高手之路 (法)丹乔,王飞龙 9787115387134","(法)丹乔,王飞龙",人民邮电出版社,2015年05月,26.95,9787115387134,1,胶版纸,平装,否,图书>计算机/网络>行业软件及应用
Python和Pygame游戏开发指南+Lua游戏AI开发指南 游戏设计 Lua AI开发,Al Sweigart,人民邮电出版社,2015年12月,126.00,9787115407351,2,胶版纸,平装-胶订,是,图书>计算机/网络>图形图像多媒体>游戏开发/多媒体/课件设计
【中商海外直订】Python for Informatics: Exploring Information,"Severance, Dr Charles Russell",Createspace Independent Publishing Platform,2015年08月,122.00,9781517143145,1,轻型纸,平装-胶订,否,图书>英文原版书>计算机Computers&Internet
现货正版 Python金融衍生品大数据分析 建模 模拟 校准与对冲 python大数据分析技术教程书籍 交易量化投资策略书籍,蔡立耑 译,电子工业出版社,2019年06月,98.00,9787121313363,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机体系结构
【套装3本】Python3网络爬虫开发实战 用Python写网络爬虫 第2版 精通Python爬虫框架Scrapy python3新手入门教程 python核心编程,张鼎 译,人民邮电出版社,2009年12月,199.00,9787115216120,1,纯质纸,平装-胶订,否,图书>文学>纪实文学
