bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
高教版Python语言程序设计冲刺试卷 含线上题库 黄天羽 高等教育出版社 2019年计算机等级考试二级Python语言程序设计教程练习题,黄天羽 李芬芬,高等教育出版社,2018年12月,37.50,9787040508079,4,胶版纸,平装-胶订,否,图书>考试>计算机考试>计算机等级考试
Python编程基础与应用 Python编程从入门到实践 精通计算机程序设计pathon核心技术网络爬虫书籍python语言程序设计基础教程教材,无,人民邮电出版社,2019年05月,28.00,9787115503466,0,纯质纸,平装-胶订,否,图书>科普读物>百科知识>科普问答
Python数据分析与应用 企业真实项目案例 源代码等相关学习资源 大数据 数据分析 数据挖掘 高职计算机大数据技术与应用 人民邮电,黄红梅 张良均,人民邮电出版社,2018年04月,47.41,9787115373045,1,胶版纸,平装-胶订,否,图书>自然科学>数学>数学理论
Python和Pygame游戏开发指南,斯维加特,人民邮电出版社发行部,2015年12月,50.15,9787115407359,3,胶版纸,平装,否,图书>工业技术>安全科学
【正版二手旧书8成新】Python程序语言设计基础（第二版） 嵩天 高等教育出版社 9787040,嵩天,高等教育出版社,2017年02月,13.60,9787040471700,0,纯质纸,平装-胶订,否,图书>二手书>教材二手书
Python参考手册（第4版·修订版）python学习手册核心编程 python基础教程入门实践 自学python爬虫从入门到精通教程书籍 人民邮电,David M.Beazley,人民邮电出版社,2016年10月,78.68,9787115394392,0,胶版纸,平装-胶订,否,图书>自然科学>数学>数学理论
Python金融衍生品大数据分析：建模、模拟、校准与对冲 9787121313363 (德)Yves Hilpisch(伊夫·希尔皮斯科) 电子工业出版社,(德)Yves Hilpisch(伊夫·希尔皮斯科),电子工业出版社,2017年08月,99.00,9787121313363,0,胶版纸,平装-胶订,否,图书>计算机/网络>数据库>数据仓库与数据挖掘
Python Web自动化测试设计与实现 陈晓伍 Web UI自动化测试 API自动化测试及相关基础开发 python编程语言软件测试工程师教程书籍,陈晓伍,清华大学出版社,2019年03月,72.00,9787302519294,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
【现货3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 python编程语言从入门到精通学习手册Python程序设计,无,电子工业出版社,2019年03月,204.00,9787121343957,0,纯质纸,平装-胶订,否,图书>计算机/网络>计算机教材
Python编程导论 第2版 Python 3 MIT热门MOOC教材 计算机科学基础知识 用计算思维解决问题+Python 3 基础教程,约翰·谷泰格,人民邮电出版社,2018年02月,111.00,9787115473769,1,胶版纸,平装-胶订,是,图书>计算机/网络>图形图像多媒体>其他
【套装2本】 Python编程从入门到实践 Python编程从零基础到项目实战 python基础教程 Python核心编程 Python程序设计,无,航空工业出版社,2018年10月,155.00,9787516515556,1,纯质纸,平装-胶订,否,图书>计算机/网络>人工智能>深度学习与神经网络
